CVE ID,Description,CVSS Score,References,Severity Encoded,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN
CVE-1999-1194,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",7.2,"http://www.cert.org/advisories/CA-1991-05.html, http://www.securityfocus.com/bid/17, https://exchange.xforce.ibmcloud.com/vulnerabilities/577",3,False,False,False
CVE-1999-1193,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",10.0,"http://www.securityfocus.com/bid/20, https://exchange.xforce.ibmcloud.com/vulnerabilities/581, http://www.cert.org/advisories/CA-1991-06.html",3,False,False,False
CVE-1999-1123,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,7.2,"http://www.securityfocus.com/bid/21, http://www.cert.org/advisories/CA-1991-07.html, http://www.securityfocus.com/bid/22, https://exchange.xforce.ibmcloud.com/vulnerabilities/582, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/107&type=0&nav=sec.sba",3,False,False,False
CVE-1999-1034,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,7.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/583, http://www.ciac.org/ciac/bulletins/b-28.shtml, http://www.securityfocus.com/bid/23, http://www.cert.org/advisories/CA-1991-08.html",3,False,False,False
CVE-1999-1415,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,4.6,"http://www.cert.org/advisories/CA-91.13.Ultrix.mail.vulnerability, http://www.securityfocus.com/bid/27",2,False,True,False
CVE-1999-1090,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",7.5,"http://www.cert.org/advisories/CA-1991-15.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/1844",3,False,False,False
CVE-1999-0498,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",10.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0498,3,False,False,False
CVE-1999-1468,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",6.2,"http://www.iss.net/security_center/static/7160.php, http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-01.html, http://www.securityfocus.com/bid/31, http://www.cert.org/advisories/CA-91.20.rdist.vulnerability, http://www.osvdb.org/8106",2,False,True,False
CVE-1999-0167,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",4.6,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0167,2,False,True,False
CVE-1999-1493,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",10.0,"http://www.cert.org/advisories/CA-1991-23.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/7158, http://www.securityfocus.com/bid/34",3,False,False,False
CVE-1999-1032,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,10.0,"http://www.securityfocus.com/bid/26, http://www.cert.org/advisories/CA-1991-11.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/584, http://ciac.llnl.gov/ciac/bulletins/b-36.shtml",3,False,False,False
CVE-1999-1059,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,10.0,"http://www.securityfocus.com/bid/36, http://www.iss.net/security_center/static/3159.php, http://www.cert.org/advisories/CA-1992-04.html",3,False,False,False
CVE-1999-0627,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",0.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0627,1,True,False,False
CVE-1999-1121,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,7.2,"http://www.securityfocus.com/bid/38, https://exchange.xforce.ibmcloud.com/vulnerabilities/554, http://www.osvdb.org/891, http://www.cert.org/advisories/CA-1992-06.html",3,False,False,False
CVE-1999-0117,AIX passwd allows local users to gain root access.,7.2,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0117,3,False,False,False
CVE-1999-1119,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",10.0,"http://www.cert.org/advisories/CA-1992-09.html, http://www.securityfocus.com/bid/41, https://exchange.xforce.ibmcloud.com/vulnerabilities/3154",3,False,False,False
CVE-1999-1142,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",7.2,"http://www.cert.org/advisories/CA-1992-11.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/3152, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/116",3,False,False,False
CVE-1999-0168,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",7.5,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0168,3,False,False,False
CVE-1999-0214,Denial of service by sending forged ICMP unreachable packets.,10.0,https://www.cve.org/CVERecord?id=CVE-1999-0214,3,False,False,False
CVE-1999-1396,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,7.2,"http://www.securityfocus.com/bid/49, http://www.iss.net/security_center/static/7150.php, http://www.cert.org/advisories/CA-1992-15.html",3,False,False,False
CVE-1999-1395,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,7.2,"http://www.iss.net/security_center/static/7136.php, http://www.securityfocus.com/bid/51, http://www.cert.org/advisories/CA-1992-18.html, http://osvdb.org/59332, http://www.cert.org/advisories/CA-92.16.VMS.Monitor.vulnerability",3,False,False,False
CVE-1999-1306,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",7.5,http://www.cert.org/advisories/CA-1992-20.html,3,False,False,False
CVE-1999-1466,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",7.5,"http://www.securityfocus.com/bid/53, http://www.cert.org/advisories/CA-1992-20.html",3,False,False,False
CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",7.2,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/117&type=0&nav=sec.sba, https://exchange.xforce.ibmcloud.com/vulnerabilities/82, http://www.securityfocus.com/bid/47, http://www.cert.org/advisories/CA-1992-15.html",3,False,False,False
CVE-1999-1056,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,6.252848423194303,No Reference,0,False,False,True
CVE-1999-0312,HP ypbind allows attackers with root privileges to modify NIS data.,5.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0312,2,False,True,False
CVE-1999-1507,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,7.2,"http://www.securityfocus.com/bid/59, https://exchange.xforce.ibmcloud.com/vulnerabilities/521, http://www.cert.org/advisories/CA-1993-03.html",3,False,False,False
CVE-1999-1218,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,2.1,"https://exchange.xforce.ibmcloud.com/vulnerabilities/522, http://www.cert.org/advisories/CA-1993-04.html",1,True,False,False
CVE-1999-1312,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",7.2,"http://www.cert.org/advisories/CA-1993-05.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/7142",3,False,False,False
CVE-1999-1216,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",7.5,"http://ciac.llnl.gov/ciac/bulletins/d-15.shtml, http://www.cert.org/advisories/CA-1993-07.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/541",3,False,False,False
CVE-1999-1162,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,6.4,"http://www.iss.net/security_center/static/542.php, http://www.cert.org/advisories/CA-1993-08.html",2,False,True,False
CVE-1999-0124,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,10.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0124,3,False,False,False
CVE-1999-1215,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",4.6,"https://exchange.xforce.ibmcloud.com/vulnerabilities/545, http://ciac.llnl.gov/ciac/bulletins/d-21.shtml, http://www.cert.org/advisories/CA-1993-12.html",2,False,True,False
CVE-1999-1138,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",10.0,"http://www.cert.org/advisories/CA-1993-13.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/546",3,False,False,False
CVE-1999-1318,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",7.2,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doc=fpatches%2F100630&zone_32=112193%2A%20, http://www.iss.net/security_center/static/7480.php",3,False,False,False
CVE-1999-0145,"Sendmail WIZ command enabled, allowing root access.",7.2,"http://www.cert.org/advisories/CA-1993-14.html, http://seclists.org/fulldisclosure/2019/Jun/16, http://www2.dataguard.no/bugtraq/1995_1/0332.html, http://www.cert.org/advisories/CA-1990-11.html, http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html, http://www.openwall.com/lists/oss-security/2019/06/06/1, http://www.openwall.com/lists/oss-security/2019/06/05/4",3,False,False,False
CVE-1999-1137,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",2.1,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/122&type=0&nav=sec.sba, https://exchange.xforce.ibmcloud.com/vulnerabilities/549, http://www.ciac.org/ciac/bulletins/e-01.shtml, http://www.osvdb.org/6436",1,True,False,False
CVE-1999-0334,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",7.2,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0334,3,False,False,False
CVE-1999-0181,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",6.8,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0181,2,False,True,False
CVE-1999-1242,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,4.6,"https://exchange.xforce.ibmcloud.com/vulnerabilities/2162, http://packetstormsecurity.org/advisories/hpalert/003",2,False,True,False
CVE-1999-0211,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,5.0,"https://vuls.cert.org/confluence/pages/viewpage.action?pageId=97124517, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=97124527, http://www.securityfocus.com/bid/24, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=96665790",2,False,True,False
CVE-1999-0338,AIX Licensed Program Product performance tools allow local users to gain root access.,7.2,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0338,3,False,False,False
CVE-1999-0120,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,7.2,http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/126,3,False,False,False
CVE-1999-1135,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",7.2,"http://packetstorm.securify.com/advisories/hpalert/027, https://exchange.xforce.ibmcloud.com/vulnerabilities/2284",3,False,False,False
CVE-1999-1146,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,7.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/2060, http://www.securityfocus.com/advisories/1555",3,False,False,False
CVE-1999-1388,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,6.2,"http://www2.dataguard.no/bugtraq/1994_2/0197.html, http://www.dataguard.no/bugtraq/1994_4/0755.html, http://www2.dataguard.no/bugtraq/1994_2/0207.html",2,False,True,False
CVE-1999-1134,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",7.2,"http://packetstorm.securify.com/advisories/hpalert/008, http://www.iss.net/security_center/static/2284.php, http://ciac.llnl.gov/ciac/bulletins/e-23.shtml",3,False,False,False
CVE-1999-0113,Some implementations of rlogin allow root access if given a -froot parameter.,10.0,http://www.securityfocus.com/bid/458,3,False,False,False
CVE-1999-0423,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,4.6,http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9903-093,2,False,True,False
CVE-1999-0337,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,7.5,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0337,3,False,False,False
CVE-1999-0207,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",7.5,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0207,3,False,False,False
CVE-1999-1239,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",4.6,"https://exchange.xforce.ibmcloud.com/vulnerabilities/2261, http://www.securityfocus.com/advisories/1559",2,False,True,False
CVE-1999-1552,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",7.2,"http://lists.insecure.org/lists/bugtraq/1994/Jul/0038.html, http://www.securityfocus.com/bid/358",3,False,False,False
CVE-1999-1494,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",2.1,"http://www.tryc.on.ca/archives/bugtraq/1995_1/0614.html, http://www.securityfocus.com/archive/1/675, ftp://patches.sgi.com/support/free/security/advisories/19950209-01-P, http://www.securityfocus.com/bid/336, https://exchange.xforce.ibmcloud.com/vulnerabilities/2112",1,True,False,False
CVE-1999-1219,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",7.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/511, http://ciac.llnl.gov/ciac/bulletins/e-33.shtml, http://www.securityfocus.com/bid/468, http://www.cert.org/advisories/CA-1994-13.html",3,False,False,False
CVE-1999-1238,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,4.6,"https://exchange.xforce.ibmcloud.com/vulnerabilities/2262, http://www.securityfocus.com/advisories/1531",2,False,True,False
CVE-1999-1022,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",6.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/2111, http://www.securityfocus.com/bid/464, http://www.securityfocus.com/archive/1/930",2,False,True,False
CVE-1999-1310,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,6.252848423194303,No Reference,0,False,False,True
CVE-1999-1248,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,4.6,"https://exchange.xforce.ibmcloud.com/vulnerabilities/2058, http://packetstormsecurity.org/advisories/hpalert/019",2,False,True,False
CVE-1999-1302,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2,"http://www.osvdb.org/8797, https://exchange.xforce.ibmcloud.com/vulnerabilities/7586, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ftp.cerias.purdue.edu/pub/advisories/cert/cert_bulletins/VB-94:01.sco",3,False,False,False
CVE-1999-1303,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2,http://ciac.llnl.gov/ciac/bulletins/f-05.shtml,3,False,False,False
CVE-1999-1304,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2,http://ciac.llnl.gov/ciac/bulletins/f-05.shtml,3,False,False,False
CVE-1999-1305,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",7.2,http://ciac.llnl.gov/ciac/bulletins/f-05.shtml,3,False,False,False
CVE-2000-0508,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,5.0,"http://archives.neohapsis.com/archives/bugtraq/2000-06/0073.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/5050, http://www.securityfocus.com/bid/1372",2,False,True,False
CVE-1999-0077,Predictable TCP sequence numbers allow spoofing.,5.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/139,2,False,True,False
CVE-1999-0232,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,10.0,https://www.cve.org/CVERecord?id=CVE-1999-0232,3,False,False,False
CVE-1999-0235,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,10.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0235,3,False,False,False
CVE-1999-0242,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,7.5,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0242,3,False,False,False
CVE-1999-1098,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,5.0,"http://www.cert.org/advisories/CA-1995-03.html, http://www.iss.net/security_center/static/516.php, http://www.ciac.org/ciac/bulletins/f-12.shtml, http://www.osvdb.org/4881",2,False,True,False
CVE-1999-1243,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,4.6,"ftp://patches.sgi.com/support/free/security/advisories/19950301-01-P373, https://exchange.xforce.ibmcloud.com/vulnerabilities/2113, http://ciac.llnl.gov/ciac/bulletins/f-16.shtml",2,False,True,False
CVE-1999-0151,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",7.6,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0151,3,False,False,False
CVE-1999-1080,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",7.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/8350, http://marc.info/?l=bugtraq&m=92633694100270&w=2, http://www.securityfocus.com/bid/250, http://marc.info/?l=bugtraq&m=93971288323395&w=2",3,False,False,False
CVE-1999-0066,AnyForm CGI remote execution.,7.5,http://www.securityfocus.com/bid/719,3,False,False,False
CVE-1999-0161,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",7.5,http://www.osvdb.org/797,3,False,False,False
CVE-1999-0172,FormMail CGI program allows remote execution of commands.,7.5,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0172,3,False,False,False
CVE-1999-0203,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",10.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0203,3,False,False,False
CVE-1999-1580,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",7.2,"http://www.auscert.org.au/render.html?it=1853&cid=1978, http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-21.html, http://www.securityfocus.com/bid/7829, http://www.cert.org/advisories/CA-95.11.sun.sendmail-oR.vul, http://www.kb.cert.org/vuls/id/3278",3,False,False,False
CVE-1999-0164,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,6.2,http://www.osvdb.org/8346,2,False,True,False
CVE-1999-0155,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,7.5,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0155,3,False,False,False
CVE-1999-0245,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",4.6,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0245,2,False,True,False
CVE-1999-0218,Livingston portmaster machines could be rebooted via a series of commands.,5.0,https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0218,2,False,True,False
